Title,Description,Date,Start,Duration,Type,Location
Introduction and Term Project: Unconventional actuator technologies; Stepper Motors,,09/12/2023,1:30 PM,2:00,Meeting,ACEB 3445
Lab 1: Stepper Motors (Section 1),,09/19/2023,12:30 PM,3:00,Meeting,ACEB 3435
DC Motors,,09/26/2023,1:30 PM,2:00,Meeting,ACEB 3445
Lab 4: BLDC Motor Control (Section 1),,10/03/2023,12:30 PM,3:00,Meeting,ACEB 3435
Fluidic Actuators,,10/10/2023,1:30 PM,2:00,Meeting,ACEB 3445
Lab 5: Pneumatic Control (Section 1),,10/17/2023,12:30 PM,3:00,Meeting,ACEB 3435
Shape Memory Materials,,10/24/2023,1:30 PM,2:00,Meeting,ACEB 3445
Lab 6: SMA Control (Section 1),,11/07/2023,12:30 PM,3:00,Meeting,ACEB 3435
Mechanical Dissection,,11/14/2023,1:30 PM,2:00,Meeting,ACEB 3445
Sensors,,11/21/2023,1:30 PM,2:00,Meeting,ACEB 3445
Actuator Selection & Control,,11/28/2023,1:30 PM,2:00,Meeting,ACEB 3445
Project Presentations,,12/05/2023,1:30 PM,2:00,Meeting,ACEB 3445
