+-------------------------------+--------+------------+
| Deliverable                   | Weight |  Due Date  |
+-------------------------------+--------+------------+
| Lab 1: Stepper Motors         |  7.5%  | 2023-09-19 |
| Assignment 1: Electric Motors |  7.5%  | 2023-10-02 |
| Lab 4: BLDC Motor Control     |  7.5%  | 2023-10-03 |
| Lab 5: Pneumatic Control      |  7.5%  | 2023-10-17 |
| Assignment 2: Fluidic Systems |  7.5%  | 2023-10-23 |
| Lab 6: SMA Control            |  7.5%  | 2023-11-07 |
| Project Presentation          |   5%   | 2023-12-05 |
| Project Report                |  20%   | 2023-12-05 |
| Final Exam (Distributed)      |  30%   | 2023-12-05 |
+-------------------------------+--------+------------+
| TOTAL                         | 100.0% |            |
+-------------------------------+--------+------------+
